sentences/sentence/0/text,sentences/sentence/0/Opinions/Opinion/0/_target,sentences/sentence/0/Opinions/Opinion/0/_category,sentences/sentence/0/Opinions/Opinion/0/_polarity,sentences/sentence/0/Opinions/Opinion/0/_from,sentences/sentence/0/Opinions/Opinion/0/_to,sentences/sentence/0/_id,_rid,sentences/sentence/0/Opinions/Opinion/1/_target,sentences/sentence/0/Opinions/Opinion/1/_category,sentences/sentence/0/Opinions/Opinion/1/_polarity,sentences/sentence/0/Opinions/Opinion/1/_from,sentences/sentence/0/Opinions/Opinion/1/_to,sentences/sentence/1/text,sentences/sentence/1/Opinions/Opinion/0/_target,sentences/sentence/1/Opinions/Opinion/0/_category,sentences/sentence/1/Opinions/Opinion/0/_polarity,sentences/sentence/1/Opinions/Opinion/0/_from,sentences/sentence/1/Opinions/Opinion/0/_to,sentences/sentence/1/_id,sentences/sentence/2/text,sentences/sentence/2/Opinions/Opinion/0/_target,sentences/sentence/2/Opinions/Opinion/0/_category,sentences/sentence/2/Opinions/Opinion/0/_polarity,sentences/sentence/2/Opinions/Opinion/0/_from,sentences/sentence/2/Opinions/Opinion/0/_to,sentences/sentence/2/_id,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_target,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/0/_from,sentences/sentence/3/Opinions/Opinion/0/_to,sentences/sentence/3/_id,sentences/sentence/1/Opinions/Opinion/1/_target,sentences/sentence/1/Opinions/Opinion/1/_category,sentences/sentence/1/Opinions/Opinion/1/_polarity,sentences/sentence/1/Opinions/Opinion/1/_from,sentences/sentence/1/Opinions/Opinion/1/_to,sentences/sentence/0/Opinions/Opinion/2/_target,sentences/sentence/0/Opinions/Opinion/2/_category,sentences/sentence/0/Opinions/Opinion/2/_polarity,sentences/sentence/0/Opinions/Opinion/2/_from,sentences/sentence/0/Opinions/Opinion/2/_to,sentences/sentence/0/Opinions/Opinion/3/_target,sentences/sentence/0/Opinions/Opinion/3/_category,sentences/sentence/0/Opinions/Opinion/3/_polarity,sentences/sentence/0/Opinions/Opinion/3/_from,sentences/sentence/0/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/1/_target,sentences/sentence/2/Opinions/Opinion/1/_category,sentences/sentence/2/Opinions/Opinion/1/_polarity,sentences/sentence/2/Opinions/Opinion/1/_from,sentences/sentence/2/Opinions/Opinion/1/_to,sentences/sentence/1/Opinions/Opinion/2/_target,sentences/sentence/1/Opinions/Opinion/2/_category,sentences/sentence/1/Opinions/Opinion/2/_polarity,sentences/sentence/1/Opinions/Opinion/2/_from,sentences/sentence/1/Opinions/Opinion/2/_to,sentences/sentence/3/Opinions/Opinion/1/_target,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity,sentences/sentence/3/Opinions/Opinion/1/_from,sentences/sentence/3/Opinions/Opinion/1/_to,sentences/sentence/4/text,sentences/sentence/4/Opinions/Opinion/0/_target,sentences/sentence/4/Opinions/Opinion/0/_category,sentences/sentence/4/Opinions/Opinion/0/_polarity,sentences/sentence/4/Opinions/Opinion/0/_from,sentences/sentence/4/Opinions/Opinion/0/_to,sentences/sentence/4/_id,sentences/sentence/5/text,sentences/sentence/5/Opinions/Opinion/0/_target,sentences/sentence/5/Opinions/Opinion/0/_category,sentences/sentence/5/Opinions/Opinion/0/_polarity,sentences/sentence/5/Opinions/Opinion/0/_from,sentences/sentence/5/Opinions/Opinion/0/_to,sentences/sentence/5/_id,sentences/sentence/6/text,sentences/sentence/6/Opinions/Opinion/0/_target,sentences/sentence/6/Opinions/Opinion/0/_category,sentences/sentence/6/Opinions/Opinion/0/_polarity,sentences/sentence/6/Opinions/Opinion/0/_from,sentences/sentence/6/Opinions/Opinion/0/_to,sentences/sentence/6/_id,sentences/sentence/0/Opinions/Opinion/4/_target,sentences/sentence/0/Opinions/Opinion/4/_category,sentences/sentence/0/Opinions/Opinion/4/_polarity,sentences/sentence/0/Opinions/Opinion/4/_from,sentences/sentence/0/Opinions/Opinion/4/_to,sentences/sentence/0/Opinions/Opinion/5/_target,sentences/sentence/0/Opinions/Opinion/5/_category,sentences/sentence/0/Opinions/Opinion/5/_polarity,sentences/sentence/0/Opinions/Opinion/5/_from,sentences/sentence/0/Opinions/Opinion/5/_to,sentences/sentence/0/Opinions/Opinion/6/_target,sentences/sentence/0/Opinions/Opinion/6/_category,sentences/sentence/0/Opinions/Opinion/6/_polarity,sentences/sentence/0/Opinions/Opinion/6/_from,sentences/sentence/0/Opinions/Opinion/6/_to,sentences/sentence/1/Opinions/Opinion/3/_target,sentences/sentence/1/Opinions/Opinion/3/_category,sentences/sentence/1/Opinions/Opinion/3/_polarity,sentences/sentence/1/Opinions/Opinion/3/_from,sentences/sentence/1/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/2/_target,sentences/sentence/2/Opinions/Opinion/2/_category,sentences/sentence/2/Opinions/Opinion/2/_polarity,sentences/sentence/2/Opinions/Opinion/2/_from,sentences/sentence/2/Opinions/Opinion/2/_to,sentences/sentence/2/Opinions/Opinion/3/_target,sentences/sentence/2/Opinions/Opinion/3/_category,sentences/sentence/2/Opinions/Opinion/3/_polarity,sentences/sentence/2/Opinions/Opinion/3/_from,sentences/sentence/2/Opinions/Opinion/3/_to
Baristar here r quiet good...,Baristar,RESTAURANT#GENERAL,positive,0,8,223:0,223,,,,,,Smooth hot coffee...,coffee,DRINKS#QUALITY,positive,11,17,223:1,"Nice food, special here r buy 2 pints FREE 1 pints only at RM42++ add 1 more tips here is Segafredo WiFi password is ""sega123456789""",food,FOOD#QUALITY,positive,5,9,223:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusr-et marine etmeden dover bunu:) Empaladas and baby goat(*) nice; but steak disappointing! try argentine wine; any malbec!...,Empaladas,FOOD#QUALITY,positive,36,45,224:0,224,baby goat,FOOD#QUALITY,positive,50,59,,,,,,,,,,,,,,,,,,,,,,,,,,,steak,FOOD#QUALITY,negative,73,78,argentine wine,DRINKS#QUALITY,positive,98,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malbec,DRINKS#QUALITY,positive,118,124,,,,,,,,,,,,,,,,,,,,,,,,,
Sundays kids eat free!,,RESTAURANT#PRICES,positive,0,0,225:0,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy two venties and 1lb of coffee and get the venties free .,,,,,,226:0,226,,,,,,Woo hoo,,,,,,226:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gourmet Mexican food with nearly 300 tequilas to choose from, descriptions which can be easily accessed on the iPad menus, will be great to drink on the seaside deck (note: don't drop the menu).",tequilas,DRINKS#STYLE_OPTIONS,positive,37,45,227:0,227,seaside deck,LOCATION#GENERAL,positive,153,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ¥200 extra ser includes choice among five side dishes and drinks - good deal in addition to three sizes of taco rice.,choice,FOOD#STYLE_OPTIONS,positive,28,34,228:0,228,taco rice,FOOD#STYLE_OPTIONS,positive,111,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOOD#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open till 11:55 so amazing!,,RESTAURANT#MISCELLANEOUS,positive,0,0,229:0,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck salad recommended,Duck salad,FOOD#QUALITY,positive,0,10,230:0,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee is the best at this place..costly though,Coffee,DRINKS#QUALITY,positive,0,6,231:0,231,,DRINKS#PRICES,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the chocolate cheese cake..,chocolate cheese cake,FOOD#QUALITY,positive,8,29,232:0,232,,,,,,It's delicious,,FOOD#QUALITY,positive,0,0,232:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluten free friendly and I can actually order just about anything for my fiancé here that is available to everyone else!,,FOOD#STYLE_OPTIONS,positive,0,0,233:0,233,,,,,,Love how caring they are about allergies!,,RESTAURANT#MISCELLANEOUS,positive,0,0,233:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A review in haiku: They have lots of meat | The filet tastes amazing | Food baby, I have....",meat,FOOD#STYLE_OPTIONS,positive,37,41,234:0,234,filet,FOOD#QUALITY,positive,48,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order ahead at chipotle.com (or using their iPhone app) to bypass the line!,,,,,,235:0,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade cakes in the restaurant are to die for.,cakes,FOOD#QUALITY,positive,9,14,236:0,236,,,,,,Gorgeous .,,FOOD#QUALITY,positive,0,0,236:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quesadilla is to die for here!!!,Quesadilla,FOOD#QUALITY,positive,0,10,237:0,237,,,,,,I keep on coming back just for that!,,FOOD#QUALITY,positive,0,0,237:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 crepes made in 40+ minutes.,,SERVICE#GENERAL,negative,0,0,238:0,238,,,,,,Make sure you have PLENTY of time to eat.,,SERVICE#GENERAL,negative,0,0,238:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellent western food.,food,FOOD#QUALITY,positive,18,22,239:0,239,,,,,,Served traditional style.,,,,,,239:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big oysters and a good po boy.,oysters,FOOD#STYLE_OPTIONS,positive,4,11,240:0,240,po boy,FOOD#QUALITY,positive,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Too expensive for average menu,,RESTAURANT#PRICES,negative,0,0,241:0,241,menu,FOOD#QUALITY,neutral,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pricey, but delicious.",,FOOD#PRICES,positive,0,0,242:0,242,,FOOD#QUALITY,positive,0,0,Treat yourself!,,,,,,242:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seriously best buffet I've ever been too.,buffet,RESTAURANT#GENERAL,positive,15,21,243:0,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The drive thru is the weirdest configured drive thru - odd curve to get to window!,,RESTAURANT#MISCELLANEOUS,negative,0,0,244:0,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My first job back when I was a teenager was here!,,,,,,245:0,245,,,,,,Pretty much everything is good.,,FOOD#QUALITY,positive,0,0,245:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great service, good matcha tea",service,SERVICE#GENERAL,positive,6,13,246:0,246,matcha tea,DRINKS#QUALITY,positive,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of my favourite Starbucks stores in San Antonio!,Starbucks,RESTAURANT#GENERAL,positive,20,29,247:0,247,,,,,,"Excellent (and friendly) staff, very clean, and usually just busy enough.",staff,SERVICE#GENERAL,positive,25,30,247:1,,,,,,,,,,,,,,,,AMBIENCE#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladies dresses Only. :/,,,,,,248:0,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the Crispy Fried Smelts,Crispy Fried Smelts,FOOD#QUALITY,positive,8,27,249:0,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 to 6 most days - great music with the Happy Hour,music,AMBIENCE#GENERAL,positive,25,30,250:0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Been here lots of times.,,RESTAURANT#GENERAL,positive,0,0,251:0,251,,,,,,Slowest starbucks ever.,,SERVICE#GENERAL,positive,0,0,251:1,"Don't go inside for service, use drive thru.",service,SERVICE#GENERAL,negative,20,27,251:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love this ;-),I love this ;-),RESTAURANT#GENERAL,positive,0,15,252:0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place is closed,,,,,,253:0,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't recommend buying Pico de Gallo fruit here.,,,,,,254:0,254,,,,,,"It's expensive, 7 bucks for a large and they don't put all the fruit that the list says.",,,,,,254:1,You're better off buying the fruit from the paisas.,,,,,,254:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It has moved to the Umami steamboat shop.,,,,,,255:0,255,,,,,,Found alot of baby cockroaches on the wall and even ur dining table!,cockroaches,AMBIENCE#GENERAL,negative,19,30,255:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very friendly service.,service,SERVICE#GENERAL,positive,14,21,256:0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""" White chocolate mocha "" denemeye değer :)",,,,,,257:0,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple pie and crab cake :smiling_face_with_heart-eyes:,Apple pie,FOOD#QUALITY,positive,0,9,258:0,258,crab cake,FOOD#QUALITY,positive,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The coffee here is great, they have an extensive menu with a lot of good food, serve breakfast all day, are open until midnight, and have free wifi.",coffee,DRINKS#QUALITY,positive,4,10,259:0,259,menu,FOOD#STYLE_OPTIONS,positive,49,53,"The waitstaff is crazy, but fun.",waitstaff,SERVICE#GENERAL,positive,4,13,259:1,I love it here.,,RESTAURANT#GENERAL,positive,0,0,259:2,,,,,,,,waitstaff,SERVICE#GENERAL,positive,4,13,food,FOOD#QUALITY,positive,73,77,,SERVICE#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT#MISCELLANEOUS,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Fabulous new fit out and even better coffee!,coffee,DRINKS#QUALITY,positive,37,43,260:0,260,fit out,AMBIENCE#GENERAL,positive,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The window is s good place to people watch,window,LOCATION#GENERAL,positive,4,10,261:0,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The lunch special is a great price and the rolls are delicious.,rolls,FOOD#QUALITY,positive,43,48,262:0,262,special,FOOD#PRICES,positive,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of the best coffee in the area beautiful shop,coffee,DRINKS#QUALITY,positive,16,22,263:0,263,shop,AMBIENCE#GENERAL,positive,45,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best coffee in town.,coffee,DRINKS#QUALITY,positive,5,11,264:0,264,,,,,,Friendly service too!,service,SERVICE#GENERAL,positive,9,16,264:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Burgers in town!,Burgers,FOOD#QUALITY,positive,5,12,265:0,265,,,,,,Everything is so fresh and delicious!,,FOOD#QUALITY,positive,0,0,265:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My favorite chinese resteraunt....,resteraunt,RESTAURANT#GENERAL,positive,20,30,266:0,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoid the diner it s expensive and not really good!,diner,FOOD#QUALITY,negative,10,15,267:0,267,diner,FOOD#PRICES,negative,10,15,Bug deception,Bug,AMBIENCE#GENERAL,positive,0,3,267:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin cream cheese donuts rock!,Pumpkin cream cheese donuts,FOOD#QUALITY,positive,0,27,268:0,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great food...slow service.,food,FOOD#QUALITY,positive,6,10,269:0,269,service,SERVICE#GENERAL,negative,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Must try the vege tomyam curry mee!,vege tomyam curry mee,FOOD#QUALITY,positive,13,34,270:0,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of the few chain places I know that do a Cortado,places,RESTAURANT#MISCELLANEOUS,neutral,21,27,271:0,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best buffet and variety is huge!! <3,buffet,FOOD#QUALITY,positive,5,11,272:0,272,,FOOD#STYLE_OPTIONS,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best diner in the area.,diner,FOOD#QUALITY,positive,5,10,273:0,273,,,,,,Good food and friendly service.,food,FOOD#QUALITY,positive,5,9,273:1,Their corned beef breakfast is awesome.,corned beef breakfast,FOOD#QUALITY,positive,6,27,273:2,,,,,,,,service,SERVICE#GENERAL,positive,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great place...,place,RESTAURANT#GENERAL,positive,6,11,274:0,274,,,,,,Great food...,food,FOOD#QUALITY,positive,6,10,274:1,You gotta go!,,RESTAURANT#GENERAL,positive,0,0,274:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
always like cuppa,cuppa,RESTAURANT#GENERAL,positive,12,17,275:0,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Believe it or not, all the sandwiches that are made in the back where the Deli is are so fresh and delicious especially the hot subs, and the cold cuts you can't beat it.",cold cuts,FOOD#QUALITY,positive,142,151,276:0,276,hot subs,FOOD#QUALITY,positive,124,132,Pricing is very reasonable!,,RESTAURANT#PRICES,positive,0,0,276:1,,,,,,,,,,,,,,,,,,,,sandwiches,FOOD#QUALITY,positive,27,37,Deli,FOOD#QUALITY,positive,74,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just got in from australia about a week ago and this is an exact replica of what you'd see in Sydney or Melbourne.,,,,,,277:0,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If it's December and you didn't order a slice of Candy Cane Pie or Gingerbread Pie, you may want to seek out medical attention!",Candy Cane Pie,FOOD#QUALITY,positive,49,63,278:0,278,Gingerbread Pie,FOOD#QUALITY,positive,67,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Coffee, Can ring ahead to take away too.",Coffee,DRINKS#QUALITY,positive,6,12,279:0,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Had the 3-way cannelloni and it was really delicious!,3-way cannelloni,FOOD#QUALITY,positive,8,24,280:0,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very popular...don't get there late unless you're prepared to wait for at least an hour...great food :),food :),FOOD#QUALITY,positive,96,103,281:0,281,,AMBIENCE#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lunch prix fixe is only $39, add the $10 for the pasta course!",lunch prix fixe,RESTAURANT#PRICES,positive,0,15,282:0,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Garlic Bread is delicious try it.. :),Garlic Bread,FOOD#QUALITY,positive,4,16,283:0,283,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best ever appetizer!skillet chip nachos!yum!,appetizer,FOOD#QUALITY,positive,10,19,284:0,284,skillet chip nachos,FOOD#QUALITY,positive,20,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the Pescado Burrito is excellent,Pescado Burrito,FOOD#QUALITY,positive,4,19,285:0,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
